!Title,Organisation / Program,Link To More Details,Status,Location,Description,Skills,Position,Experience,Degree
Internships and Fellowships,Trail of Bits,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Internships%20and%20Fellowships&site=https%3A%2F%2Fwww.trailofbits.com%2Fcareers%2F,Closed Feb '26,Remote.USA,(see original source),Information security,Internship,Entry-level,Undergraduate degree or less
AI Reporting Grants,Pulitzer Center,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=AI%20Reporting%20Grants&site=https%3A%2F%2Fpulitzercenter.org%2Fgrants-fellowships%2Fopportunities-journalists%2Fai-reporting-grants,Rolling,Remote.Global,(see original source),Other,Funding,Multiple experience levels,Undergraduate degree or less
Reporters in Residence,Omidyar Network,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Reporters%20in%20Residence&site=https%3A%2F%2Fomidyar.com%2Freporters-in-residence-program%2F,Closed Nov '25,Remote.Global,(see original source),Other,Full-time,Mid (5-9 years experience),Undergraduate degree or less
Washington Post Internship,Washington Post,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Washington%20Post%20Internship&site=https%3A%2F%2Fcareers.washingtonpost.com%2F%23internships,Closed Oct '25,"Washington, DC metro area.USA",(see original source),Other,Internship,Entry-level,Undergraduate degree or less
Chicago Booth Journalist in Residence Program,Chicago Booth,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Chicago%20Booth%20Journalist%20in%20Residence%20Program&site=https%3A%2F%2Fwww.chicagobooth.edu%2Fresearch%2Fstigler%2Feducation%2Fjournalists-in-residence-program,Closed Oct '25,"Chicago, IL.USA",(see original source),"Other, Policy",Full-time,Junior (1-4 years experience),Undergraduate degree or less
Fellowship,"Vox Media, Future Perfect",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellowship&site=https%3A%2F%2Fboards.greenhouse.io%2Fvoxmedia%2Fjobs%2F5533058%3Fgh_jid%3D5533058,Closed Mar '25,Remote.USA,(see original source),Other,Fellowship,Multiple experience levels,Undergraduate degree or less
Tech Fellow,Bellingcat,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Tech%20Fellow&site=https%3A%2F%2Fwww.bellingcat.com%2Fbecome-a-2024-bellingcat-tech-fellow%2F,Closed Jan '24,Remote.Global,(see original source),Other,Fellowship,Multiple experience levels,Undergraduate degree or less
European Cybersecurity Fellowship (2024-25),European Cyber Conflict Research Initiative,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=European%20Cybersecurity%20Fellowship%20%282024-25%29&site=https%3A%2F%2Fvirtual-routes.org%2Finitiatives%2Ffellowship,Closed Feb '26,Remote.Europe,(see original source),Policy,Part-time,Entry-level,Undergraduate degree or less
Various Fellowships,"Cornell University, Digital Life Initiative",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fwww.dli.tech.cornell.edu%2Fjoin,Rolling,"New York, NY.USA",(see original source),"Research, Policy",Fellowship,Entry-level,Doctoral degree
Various Fellowships,"Yale University, Yale Law School",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Flaw.yale.edu%2Fisp%2Fjoin-us,Rolling,"New Haven, CT.USA",(see original source),Research,Fellowship,Entry-level,Undergraduate degree or less
"Center on AI, Security, and Technology Fellows",RAND Corporation,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Center%20on%20AI%2C%20Security%2C%20and%20Technology%20Fellows&site=https%3A%2F%2Fwww.rand.org%2Fglobal-and-emerging-risks%2Fcenters%2Fai-security-and-technology%2Ffellows.html,Rolling,"Various.USA, .UK, .Netherlands",(see original source),"Policy, Research",Fellowship,Multiple experience levels,Undergraduate degree or less
Talos Fellowship,Talos Network,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Talos%20Fellowship&site=https%3A%2F%2Fwww.talosnetwork.org%2Ffellowship,"Now open, closes Apr '26",.Europe,(see original source),Policy,Fellowship,Entry-level,Undergraduate degree or less
Various Fellowships / Scholars Programs,Centre for the Governance of AI,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships%20%2F%20Scholars%20Programs&site=https%3A%2F%2Fwww.governance.ai%2Fopportunities,Closed Mar '26,Oxford.UK,(see original source),Research,Fellowship,Junior (1-4 years experience),Undergraduate degree or less
Faculty and Graduate Fellowships (2024),"University of Toronto, Schwartz Reisman Institute for Technology and Society",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Faculty%20and%20Graduate%20Fellowships%20%282024%29&site=https%3A%2F%2Fsrinstitute.utoronto.ca%2Fnews%2F2026-call-for-schwartz-reisman-fellowships,Closed Feb '26,Toronto.Canada,(see original source),Research,Fellowship,Multiple experience levels,Undergraduate degree or less
Research Fellowships,Institute for Law and AI,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Research%20Fellowships&site=https%3A%2F%2Flaw-ai.org%2Fsummer-research-fellowship-in-law-ai-2025%2F,Closed Feb '26,Remote.Global,(see original source),"Research, Legal",Fellowship,Entry-level,Master's degree
IAPS AI Policy Fellowship,Institute for AI Policy and Strategy,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=IAPS%20AI%20Policy%20Fellowship&site=https%3A%2F%2Fwww.iaps.ai%2Ffellowship,Closed Feb '26,Remote.Global,(see original source),Policy,Fellowship,"Junior (1-4 years experience), Mid (5-9 years experience)",Undergraduate degree or less
Tarbell Fellowship,Tarbell Center for AI Journalism,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Tarbell%20Fellowship&site=https%3A%2F%2Fwww.tarbellfellowship.org%2F,Closed Jan '26,Remote.Global,(see original source),"Policy, Other","Fellowship, Part-time",Multiple experience levels,Undergraduate degree or less
Scholars Program,NobleReach Foundation,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Scholars%20Program&site=https%3A%2F%2Fnoblereachfoundation.org%2Fscholars-program%2F,Closed Dec '25,.USA,(see original source),Policy,Internship,Entry-level,Undergraduate degree or less
"Science and Technology Policy Fellow, AI Cohort",American Association for the Advancement of Science,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Science%20and%20Technology%20Policy%20Fellow%2C%20AI%20Cohort&site=https%3A%2F%2Fwww.aaas.org%2Fprograms%2Fscience-technology-policy-fellowships%2Faaas-seeks-applications-rapid-response-stpf-cohort,Closed Nov '25,"Washington, DC metro area.USA",(see original source),Policy,Full-time,Multiple experience levels,Undergraduate degree or less
"Fellowships, Technology and National Security Program",Center for a New American Security,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellowships%2C%20Technology%20and%20National%20Security%20Program&site=https%3A%2F%2Fwww.cnas.org%2Fresearch%2Ftechnology-and-national-security,Closed Sep '25,"Washington, DC metro area.USA",(see original source),"Policy, Research",Fellowship,"Junior (1-4 years experience), Mid (5-9 years experience)",Undergraduate degree or less
Horizon Fellowship,The Horizon Institute for Public Service,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Horizon%20Fellowship&site=https%3A%2F%2Fhorizonpublicservice.org%2Fprograms%2Fbecome-a-fellow%2F,Closed Aug '25,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Multiple experience levels,Undergraduate degree or less
US Public Policy Fellowships,Google,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=US%20Public%20Policy%20Fellowships&site=https%3A%2F%2Fwww.google.com%2Fpolicyfellowship%2Fusa%2Ffaq%2F,Closed Apr '25,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Entry-level,Undergraduate degree or less
AI Safety Fellowship,TechCongress,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=AI%20Safety%20Fellowship&site=https%3A%2F%2Fwww.techcongress.io%2Fai-safety-fellowship,Closed Jun '24,"Washington, DC metro area.USA, San Francisco Bay Area.USA",(see original source),Policy,Fellowship,"Mid (5-9 years experience), Senior (10+ years experience)",Undergraduate degree or less
Tech Policy Fellowship,Citris Policy Lab,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Tech%20Policy%20Fellowship&site=https%3A%2F%2Fcitrispolicylab.org%2Ftechpolicyfellows%2F,Closed May '24,San Francisco Bay Area.USA,(see original source),Policy,Fellowship,Multiple experience levels,Undergraduate degree or less
Various Fellowships,Institute for Progress,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fifp.org%2Fopportunities%2F,Closed May '25,"Washington, DC metro area.USA",(see original source),"Data, Research",Fellowship,Multiple experience levels,Undergraduate degree or less
Writing Fellowship,Works in Progress & Asimov Press,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Writing%20Fellowship&site=https%3A%2F%2Fwww.worksinprogress.news%2Fp%2Fa-writing-fellowship-on-scientific,Closed Mar '25,Remote.Global,(see original source),Other,Fellowship,Junior (1-4 years experience),Undergraduate degree or less
"Grant Recipient, Effective Altruism Infrastructure",EA Funds,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Grant%20Recipient%2C%20Effective%20Altruism%20Infrastructure&site=https%3A%2F%2Ffunds.effectivealtruism.org%2Ffunds%2Fea-community,Rolling,Remote.Global,(see original source),"Other, Policy, Research",Funding,Multiple experience levels,Undergraduate degree or less
Funding Opportunities,Open Philanthropy,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Funding%20Opportunities&site=https%3A%2F%2Fwww.openphilanthropy.org%2Frfp-for-projects-to-grow-our-capacity-for-reducing-global-catastrophic-risks%2F,Rolling,Remote.Global,(see original source),Other,Funding,Multiple experience levels,Undergraduate degree or less
Career Planning Programme,High Impact Medicine,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Career%20Planning%20Programme&site=https%3A%2F%2Fwww.highimpactmedicine.org%2Fcareer-planning,"Now open, closes Jun '26",.Global,(see original source),Other,Fellowship,Multiple experience levels,Undergraduate degree or less
Various Fellowships,Council on Foreign Relations,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fwww.cfr.org%2Ffellowships%2F,Closed Feb '26,"New York, NY.USA, Washington, DC metro area.USA",(see original source),"Research, Policy",Fellowship,"Junior (1-4 years experience), Mid (5-9 years experience)",Undergraduate degree or less
ILINA Fellowship,The ILINA Fellowship,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=ILINA%20Fellowship&site=https%3A%2F%2Fwww.ilinaprogram.org%2F,Closed Feb '26,"Remote.Africa, Nairobi.Kenya",(see original source),Research,Fellowship,Entry-level,Undergraduate degree or less
Impact Accelerator Program,High Impact Professionals,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Impact%20Accelerator%20Program&site=https%3A%2F%2Fwww.highimpactprofessionals.org%2Fimpact-accelerator-program,Closed Feb '26,Remote.Global,(see original source),Other,Full-time,"Mid (5-9 years experience), Senior (10+ years experience)",Undergraduate degree or less
CISAC Fellowship,Stanford University,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=CISAC%20Fellowship&site=https%3A%2F%2Fcisac.fsi.stanford.edu%2Fcisac-fellowships,Closed Dec '25,San Francisco Bay Area.USA,(see original source),"Policy, Research",Fellowship,Multiple experience levels,Master's degree
Research Fellowship,Pivotal Research,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Research%20Fellowship&site=https%3A%2F%2Fwww.pivotal-research.org%2Ffellowship,Closed Nov '25,Geneva.Switzerland,(see original source),"Research, Policy",Fellowship,Entry-level,Undergraduate degree or less
Various Fellowships,ERA,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Ferafellowship.org%2F,Closed Nov '25,Cambridge.UK,(see original source),Research,Internship,Multiple experience levels,Undergraduate degree or less
Incubation Program,Charity Entrepreneurship,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Incubation%20Program&site=https%3A%2F%2Fwww.charityentrepreneurship.com%2Fincubation-program,Closed Oct '25,"London.UK, Remote.Global",(see original source),"Research, Operations, Outreach, Management, Strategy",Funding,Multiple experience levels,Undergraduate degree or less
ACX Grants,Astral Codex Ten,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=ACX%20Grants&site=https%3A%2F%2Fwww.astralcodexten.com%2Fp%2Fapply-for-an-acx-grant-2024,Closed Aug '25,Remote.Global,(see original source),"Research, Operations, Engineering",Funding,Multiple experience levels,Undergraduate degree or less
Various Fellowships,American Academy of Arts and Sciences,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fwww.amacad.org%2Fabout%2Ffellowships,Closed Mar '25,"Washington, DC metro area.USA, Boston metro area.USA",(see original source),Policy,Fellowship,Junior (1-4 years experience),Doctoral degree
"Summer Research Fellows, Existential Risk Laboratory",University of Chicago,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Summer%20Research%20Fellows%2C%20Existential%20Risk%20Laboratory&site=https%3A%2F%2Fxrisk.uchicago.edu%2Ffellowship%2F,Closed Mar '25,"Chicago, IL.USA",(see original source),Research,Fellowship,Entry-level,Undergraduate degree or less
Various Funding Grants,UK Research and Innovation,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Funding%20Grants&site=https%3A%2F%2Fwww.ukri.org%2Fopportunity%2F,Closed Nov '24,.UK,(see original source),"Research, Operations",Funding,Multiple experience levels,Undergraduate degree or less
The Asia Pacific Fellows Program,RAND Corporation,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=The%20Asia%20Pacific%20Fellows%20Program&site=https%3A%2F%2Fwww.rand.org%2Fglobal-and-emerging-risks%2Fcenters%2Finternational%2Fasia-pacific-fellows-program.html,Closed Feb '26,"Los Angeles, CA.USA, Washington, DC metro area.USA, Pittsburgh, PA.USA, Boston metro area.USA",(see original source),"Policy, Research",Fellowship,Entry-level,Master's degree
South Asia Program Fellowships,The Stimson Center,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=South%20Asia%20Program%20Fellowships&site=https%3A%2F%2Fwww.stimson.org%2Fproject%2Fsouth-asia-fellowships%2Fvisiting-fellowship%2Fapply%2F,Closed Jan '26,"Washington, DC metro area.USA",(see original source),"Research, Policy",Fellowship,"Mid (5-9 years experience), Senior (10+ years experience)",Master's degree
Scholars,Yenching Scholars Program,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Scholars&site=https%3A%2F%2Fyenchingacademy.pku.edu.cn%2FADMISSIONS.htm,Closed Dec '25,Beijing.China,(see original source),"Policy, Research",Fellowship,Entry-level,Undergraduate degree or less
Oxford China Policy Lab Fellowship,Oxford University,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Oxford%20China%20Policy%20Lab%20Fellowship&site=https%3A%2F%2Fwww.oxfordchinapolicylab.com%2Fabout-the-fellowship,Closed Nov '25,Oxford.UK,(see original source),"Research, Policy",Fellowship,Entry-level,Undergraduate degree or less
Schwarzman Scholars Program,Schwartzman Scholars,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Schwarzman%20Scholars%20Program&site=https%3A%2F%2Fwww.schwarzmanscholars.org%2F,Closed Sep '25; Opens Apr '26,.China,(see original source),Policy,Full-time,Entry-level,Undergraduate degree or less
Internships,Asia Society Policy Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Internships&site=https%3A%2F%2Fasiasociety.org%2Fabout%2Finterns-and-volunteers,Closed May '25,"New York, NY.USA",(see original source),Policy,Internship,Entry-level,Undergraduate degree or less
The Wilson China Fellowship,Woodrow Wilson International Center for Scholars,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=The%20Wilson%20China%20Fellowship&site=https%3A%2F%2Fwww.wilsoncenter.org%2Fthe-wilson-china-fellowship,Closed Dec '24,"Washington, DC metro area.USA, Remote.USA",(see original source),"Research, Policy",Fellowship,Multiple experience levels,Undergraduate degree or less
Ellings-Korduba Research Fellowship (2024),National Bureau of Asian Research,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Ellings-Korduba%20Research%20Fellowship%20%282024%29&site=https%3A%2F%2Fwww.nbr.org%2Fellings-korduba-research-fellowship-program%2F,Closed Apr '24,Seattle metro area.USA,(see original source),"Research, Policy",Fellowship,Entry-level,Undergraduate degree or less
Jeane Kirkpatrick Fellowship Program,American Enterprise Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Jeane%20Kirkpatrick%20Fellowship%20Program&site=https%3A%2F%2Fwww.aei.org%2Fspecial-features%2Fjeane-kirkpatrick-fellowship-program%2F,Rolling,"Washington, DC metro area.USA",(see original source),"Policy, Research",Fellowship,"Mid (5-9 years experience), Senior (10+ years experience)",Undergraduate degree or less
"Various Fellowships, Aspen Global Leadership Network",Aspen Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships%2C%20Aspen%20Global%20Leadership%20Network&site=https%3A%2F%2Fagln.aspeninstitute.org%2Ffellowships,Rolling,,(see original source),Policy,Fellowship,Multiple experience levels,Undergraduate degree or less
Policy Fellowships,"Cambridge University, Centre for Science and Policy",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Policy%20Fellowships&site=https%3A%2F%2Fwww.csap.cam.ac.uk%2Fpolicy-fellowships%2F,Rolling,Cambridge.UK,(see original source),"Policy, Research",Fellowship,Multiple experience levels,Undergraduate degree or less
Various Fellowships,Center for a New American Security,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fwww.cnas.org%2Fcareers%2F,Rolling,"Washington, DC metro area.USA",(see original source),"Policy, Research",Fellowship,"Junior (1-4 years experience), Mid (5-9 years experience)",Undergraduate degree or less
Various Internships,Center for Strategic and International Studies,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Internships&site=https%3A%2F%2Fwww.csis.org%2Fabout%2Fcareers-culture%2Finternships,Rolling,"Washington, DC metro area.USA",(see original source),"Policy, Research",Internship,Entry-level,Undergraduate degree or less
Internships,Committee for a Responsible Federal Budget,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Internships&site=https%3A%2F%2Fwww.crfb.org%2Fjobs%2Finternship,Rolling,.USA,(see original source),"Policy, Legal",Internship,Entry-level,Undergraduate degree or less
Various Fellowships,Council on Strategic Risks,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fcouncilonstrategicrisks.org%2Ftag%2FFellowship%2F,Rolling,.Global,(see original source),Policy,Fellowship,Entry-level,Master's degree
"Internships, US Policy",Future of Privacy Forum,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Internships%2C%20US%20Policy&site=https%3A%2F%2Ffpf.org%2Fus-policy-internships%2F,Rolling,"Washington, DC metro area.USA",(see original source),Policy,Internship,Entry-level,Master's degree
Various Fellowships,"George Mason University, Mercatus Center",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fwww.mercatus.org%2Fstudents%2Ffellowships,Rolling,Remote.Global,(see original source),Policy,Fellowship,Multiple experience levels,Undergraduate degree or less
